country_code,country_name,parent_handle,parent_title,option_names,variant_label,variant_sku,retail_price,compare_at_price,catalog_handle
EC,Ecuador,cadena-serpiente-hombre,Cadena Serpiente Hombre,Medida,4mm/65cm,42287,63.0,90.0,cadena-serpiente-hombre--4mm-65cm
EC,Ecuador,cadena-serpiente-hombre,Cadena Serpiente Hombre,Medida,6mm/65vm,42300,73.0,103.0,cadena-serpiente-hombre--6mm-65vm
EC,Ecuador,cadena-serpiente-hombre,Cadena Serpiente Hombre,Medida,8mm/65cm,42320,82.0,117.0,cadena-serpiente-hombre--8mm-65cm
EC,Ecuador,cadena-veneciana-hombre,Cadena Veneciana Hombre,Medida,3mm/65cm,42693,59.0,85.0,cadena-veneciana-hombre--3mm-65cm
EC,Ecuador,cadena-veneciana-hombre,Cadena Veneciana Hombre,Medida,4mm/65cm,42695,63.0,90.0,cadena-veneciana-hombre--4mm-65cm
EC,Ecuador,cadena-veneciana-hombre,Cadena Veneciana Hombre,Medida,6mm/65cm,42700,82.0,117.0,cadena-veneciana-hombre--6mm-65cm
EC,Ecuador,24441,Dije Cruz Sagrada,Color,Verde,230351,59.0,79.0,24441--verde
EC,Ecuador,24441,Dije Cruz Sagrada,Color,Cristal,230352,59.0,79.0,24441--cristal
EC,Ecuador,dije-virgen-piedras,Dije Virgen Piedras,Color,COLORES,23146,49.0,65.0,dije-virgen-piedras--colores
EC,Ecuador,dije-virgen-piedras,Dije Virgen Piedras,Color,CRISTAL,23147,49.0,65.0,dije-virgen-piedras--cristal
EC,Ecuador,dije-virgen-piedras,Dije Virgen Piedras,Color,VERDE,23148,49.0,65.0,dije-virgen-piedras--verde
EC,Ecuador,copia-de-dije-virgen-del-carmen,Dije Virgen Swarovski Cristal,COLOR,Cristal,22146,70.0,95.0,copia-de-dije-virgen-del-carmen--cristal
EC,Ecuador,copia-de-dije-virgen-del-carmen,Dije Virgen Swarovski Cristal,COLOR,Colores,22147,70.0,95.0,copia-de-dije-virgen-del-carmen--colores
EC,Ecuador,pulsera-balin-diamantada,Pulsera Balín Diamantada #8,COLOR,1 NEGRA,1065,55.0,89.0,pulsera-balin-diamantada--1-negra
EC,Ecuador,pulsera-balin-diamantada,Pulsera Balín Diamantada #8,COLOR,1 ROJA,,55.0,89.0,pulsera-balin-diamantada--1-roja
EC,Ecuador,pulsera-balin-diamantada,Pulsera Balín Diamantada #8,COLOR,2 NEGRAS,,66.0,178.0,pulsera-balin-diamantada--2-negras
EC,Ecuador,pulsera-balin-diamantada,Pulsera Balín Diamantada #8,COLOR,2 ROJAS,,66.0,178.0,pulsera-balin-diamantada--2-rojas
EC,Ecuador,pulsera-cartier-hombre,Pulsera Carter Hombre,Medida,4mm/20cm,52498,39.0,60.0,pulsera-cartier-hombre--4mm-20cm
EC,Ecuador,pulsera-cartier-hombre,Pulsera Carter Hombre,Medida,6mm/20cm,52500,42.0,66.0,pulsera-cartier-hombre--6mm-20cm
EC,Ecuador,pulsera-cartier-hombre,Pulsera Carter Hombre,Medida,9mm/20cm,52540,55.0,79.0,pulsera-cartier-hombre--9mm-20cm
EC,Ecuador,pulsera-chinesca-hombre,Pulsera Chinesca Hombre,Grosor,4mm/20cm,54883,40.0,60.0,pulsera-chinesca-hombre--4mm-20cm
EC,Ecuador,pulsera-chinesca-hombre,Pulsera Chinesca Hombre,Grosor,6mm/20cm,54888,45.0,66.0,pulsera-chinesca-hombre--6mm-20cm
EC,Ecuador,pulsera-chinesca-hombre,Pulsera Chinesca Hombre,Grosor,8mm/20cm,54890,55.0,79.0,pulsera-chinesca-hombre--8mm-20cm
