Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cadena-lazo-dije-dolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/Cadena_lazo_4mm.png?v=1780455123,3,"",,,,,,,,
cadena-lazo-dije-dolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DIJE_DOLAR.png?v=1782306656,4,"",,,,,,,,
cadena-grano-de-cafe-cruz-protectora,Cadena Grano de Cafe + Cruz Protectora,"<h3 data-mce-fragment=""1""><span><strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></span></h3>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</strong><br data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, cuenta con 1 año de garantía:<br data-mce-fragment=""1"">☑️Nuestro producto no se oxida<br data-mce-fragment=""1"">☑️No se Pela, ni raspa<br data-mce-fragment=""1"">☑️No cambia de tonalidad, ni se pone negro.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración  100% garantizado</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0604/0594/0465/files/IMAGENPUBLICIDAD_480x480.jpg?v=1668868840""></p>",ITALUX JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,42900 - 24545,500.0,shopify,continue,manual,73500,105000,true,false,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0559.jpg?v=1784480873,1,"",false,,,,kg,,,active
cadena-grano-de-cafe-cruz-protectora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0562.jpg?v=1784480919,2,"",,,,,,,,
cadena-grano-de-cafe-cruz-protectora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/Cadena_grano_de_cafe_6mm.png?v=1780602350,3,"",,,,,,,,
cadena-grano-de-cafe-cruz-protectora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DIJE_CRUZ_PROTECTORA.png?v=1782306831,4,"",,,,,,,,
cadena-china-dije-virgen-piedras,Cadena China + Dije Virgen Piedras,"<h3 data-mce-fragment=""1""><span><strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></span></h3>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</strong><br data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, cuenta con 1 año de garantía:<br data-mce-fragment=""1"">☑️Nuestro producto no se oxida<br data-mce-fragment=""1"">☑️No se Pela, ni raspa<br data-mce-fragment=""1"">☑️No cambia de tonalidad, ni se pone negro.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración  100% garantizado</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0604/0594/0465/files/IMAGENPUBLICIDAD_480x480.jpg?v=1668868840""></p>",ITALUX JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,44883 - 26085,500.0,shopify,continue,manual,76930,109900,true,false,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0538.jpg?v=1784480718,1,"",false,,,,kg,,,active
cadena-china-dije-virgen-piedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0529.jpg?v=1784480741,2,"",,,,,,,,
cadena-china-dije-virgen-piedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0534.jpg?v=1784480758,3,"",,,,,,,,
cadena-china-dije-virgen-piedras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/CHINA6MM5.webp?v=1763937769,4,"",,,,,,,,
