pais,codigo,titulo_tienda,sku_tienda,handle,precio_retail_tienda,motivo,sugerencia_excel_nombre,sugerencia_excel_sku,sugerencia_parecido,sugerencia_mayorista_excel
CHILE,CL,Pulsera Cubana Hombre,(vacío),pulsera-cubana-hombre,46413.0,sin_sku,P. CUBANA 3mm  18cm,52387,0.4,21459.100000000002
CHILE,CL,Pulsera Cubana Mujer,(vacío),pulsera-cubana-mujer,32700.0,sin_sku,P. CUBANA 3mm  18cm,52387,0.4,21459.100000000002
CHILE,CL,Pulsera Egipcia Hombre,(vacío),pulsera-egipcia-hombre,54700.0,sin_sku,P. EGIPCIA 3mm  18cm,53488,0.4,16215.699999999999
CHILE,CL,Pulsera Egipcia Mujer,(vacío),pulsera-egipcia-mujer,40000.0,sin_sku,P. EGIPCIA 3mm  18cm,53488,0.4,16215.699999999999
CHILE,CL,Pulsera Entrelazada Hombre 6mm,(vacío),pulsera-entrelazada-hombre-6mm,43695.0,sin_sku,P. GRABADA  6mm  20cm,51200,0.33,19614.2
CHILE,CL,Pulsera Entrelazada Mujer 3mm,(vacío),pulsera-entrelazada-mujer-3mm,36413.0,sin_sku,P. CUBANA 3mm  18cm,52387,0.33,21459.100000000002
CHILE,CL,Pulsera Eslabon Hombre,(vacío),pulsera-cartier-hombre,48772.0,sin_sku,P. GRABADA   4mm  20cm,51189,0.17,18060.6
CHILE,CL,Pulsera Eslabon Mujer,(vacío),pulsera-cartier-mujer,32700.0,sin_sku,P. GRABADA   4mm  20cm,51189,0.17,18060.6
CHILE,CL,Pulsera Franco Hombre,(vacío),cadena-china-65cm-copia-1,43695.0,sin_sku,P. FRANCO 4mm  20cm,53195,0.4,24469.2
CHILE,CL,Pulsera Grabada Hombre,(vacío),pulsera-grabada-hombre,46414.0,sin_sku,P. GRABADA   4mm  20cm,51189,0.4,18060.6
CHILE,CL,Pulsera Grano de Cafe Mujer 5mm,(vacío),pulsera-gucci-mujer5mm,37400.0,sin_sku,P. GRANO DE CAFE 6mm  18cm,52892,0.43,22527.2
CHILE,CL,Pulsera Grano de Café Hombre,(vacío),pulsera-granocafe-hombre,43695.0,sin_sku,P. GRANO DE CAFE 6mm  18cm,52892,0.5,22527.2
CHILE,CL,Pulsera Lazo Hombre,(vacío),pulsera-lazo-hombre,46614.0,sin_sku,P. LAZO 2mm  18cm,52782,0.4,14273.700000000003
CHILE,CL,Pulsera Rustica Hombre,(vacío),pulsera-rustica-hombre,43695.0,sin_sku,P. RUSTICA 4mm  20cm,52598,0.4,20682.299999999996
CHILE,CL,Pulsera Serpiente Hombre,(vacío),pulsera-serpiente-hombre,46414.0,sin_sku,P. SERPIENTE 4mm  20cm,52287,0.4,18060.6
CHILE,CL,Pulsera Veneciana Hombre,(vacío),pulsera-veneciana-hombre,43695.0,sin_sku,P. VENECIANA 2mm  18cm,52687,0.4,13691.100000000002
COLOMBIA,CO,Arete Osos 33003,33003,copia-de-arete-corazon-piedras-33003,79000.0,sku_no_en_excel,,,,
COLOMBIA,CO,Cadena China 45 cm,43888,cadena-china-45-cm,84.0,sku_no_en_excel,C. CHINA PLANA 6mm 65cm,43900,0.29,202560
COLOMBIA,CO,Cadena China Hombre 3mm,43888,cadena-china,150500.0,sku_no_en_excel,C. CUBANA 3mm  45cm,42386,0.33,101600
COLOMBIA,CO,Cadena Continua Hombre,(vacío),cadena-continua-hombre,179900.0,sin_sku,C. CUBANA CONTINUA 2mm  45cm,43585,0.33,89600.00000000001
COLOMBIA,CO,Cadena Cordon Hombre,(vacío),cadena-cordon-hombre,150500.0,sin_sku,C. CORDON 3mm  45cm,44020,0.4,68388.57142857152
COLOMBIA,CO,Cadena Cubana Hombre,42399,cadena-cubana-hombre,227500.0,sku_no_en_excel,C. CUBANA 3mm  45cm,42386,0.4,101600
COLOMBIA,CO,Cadena Cubana Mujer,42389,cadena-cubana-mujer,105000.0,sku_no_en_excel,C. CUBANA 3mm  45cm,42386,0.4,101600
COLOMBIA,CO,CADENA EGIPCIA 45 CM,44006,cadena-egipcia-45-cm,116175.0,sku_no_en_excel,C. EGIPCIA  3mm  45cm,43488,0.33,86400
COLOMBIA,CO,Cadena Egipcia Hombre,(vacío),cadena-egipcia-hombre,227500.0,sin_sku,C. EGIPCIA  3mm  45cm,43488,0.4,86400
COLOMBIA,CO,Cadena Entrelazada Hombre,(vacío),cadena-entrelazada-hombre,179900.0,sin_sku,C. GRABADA 4mm  65cm,41189,0.17,112800.00000000001
COLOMBIA,CO,Cadena Grabada Hombre,(vacío),cadena-grabada-hombre,227500.0,sin_sku,C. GRABADA 4mm  65cm,41189,0.4,112800.00000000001
COLOMBIA,CO,Cadena Grano de Café Hombre,(vacío),cadena-granocafe-hombre,189000.0,sin_sku,C. GRANO DE CAFE 6mm  45cm,42982,0.5,142800
COLOMBIA,CO,Cadena Lazo Hombre,(vacío),cadena-lazo-hombre,227500.0,sin_sku,C. LAZO 2mm  45cm,42782,0.4,65199.999999999985
COLOMBIA,CO,Cadena Militar Hombre,(vacío),cadena-militar-65cm,139900.0,sin_sku,C. MILITAR 3mm  65cm,43100,0.4,110057.1428571428
