Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
24441,Dije Cruz Sagrada,"<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><strong data-mce-fragment=""1"">PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2 data-mce-fragment=""1"">
<span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553"" width=""389"" height=""171"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553""></span>
</h2>",KEVIN JEWELRY,,"","",true,Color,Verde,,,,,,,,'230351,500.0,shopify,100,continue,manual,59.00,79.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0880/9879/9916/files/QGCM7934.jpg?v=1717436406,1,"",false,,,,kg,,,active
24441,,,,,,,,,Cristal,,,,,,,,'230352,500.0,shopify,100,continue,manual,59.00,79.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0880/9879/9916/files/230351.jpg?v=1717436406,2,"",,,,,kg,,,
24853,Dije Guadalupe Tallada,"<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><strong data-mce-fragment=""1"">PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2 data-mce-fragment=""1"">
<span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553"" width=""389"" height=""171"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553""></span>
</h2>",KEVIN JEWELRY,,"","",true,Title,Default Title,,,,,,,,'24550,500.0,shopify,99,continue,manual,29.00,49.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0880/9879/9916/files/LYFK0479.jpg?v=1717436409,1,"",false,,,,kg,,,active
34008,Colgante Rostro,"<p><span style=""color: #ff2a00;"" data-mce-style=""color: #ff2a00;""><strong>PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-style=""color: #ff2a00;"" data-mce-fragment=""1"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2>
<span style=""color: #ff2a00;"" data-mce-style=""color: #ff2a00;"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span><span style=""color: #ff2a00;"" data-mce-style=""color: #ff2a00;""><img height=""171"" width=""389"" src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553"" alt=""""></span>
</h2>
<p><span style=""color: #ff2a00;""><strong><br></strong></span></p>",KEVIN JEWELRY,,"","",true,Title,Default Title,,,,,,,,'24552,500.0,shopify,-14,continue,manual,44.00,59.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0880/9879/9916/files/CKRE2459.jpg?v=1717436412,1,"",false,,,,kg,,,active
54461,Pulsera Cubana Diamantada,"<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><strong data-mce-fragment=""1"">PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2 data-mce-fragment=""1"">
<span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553"" width=""389"" height=""171"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553""></span>
</h2>",KEVIN JEWELRY,Sin categoría,"","",true,Title,Default Title,,,,,,,,'54417,500.0,shopify,85,continue,manual,50.00,90.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0880/9879/9916/files/DIAMANTADA.jpg?v=1764032519,1,"",false,,,,kg,,,active
54461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0880/9879/9916/files/DSC_0104.jpg?v=1764032519,2,"",,,,,,,,
54461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0880/9879/9916/files/DSC_0101.jpg?v=1755048860,3,"",,,,,,,,
copia-de-dije-cristo-3d,Dije San Benito Redondo,"<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><strong data-mce-fragment=""1"">PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2 data-mce-fragment=""1"">
<span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553"" width=""389"" height=""171"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553""></span>
</h2>",KEVIN JEWELRY,Sin categoría,"","",true,Title,Default Title,,,,,,,,'24476,0.0,shopify,71,continue,manual,29.00,49.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0880/9879/9916/files/DSC_0094.jpg?v=1717436597,1,"",false,,,,kg,,,active
dije-cruz-circonias-central,Dije Cruz circonias central,"<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><strong data-mce-fragment=""1"">PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2 data-mce-fragment=""1"">
<span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553"" width=""389"" height=""171"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553""></span>
</h2>",KEVIN JEWELRY,Sin categoría,"","",true,Title,Default Title,,,,,,,,'27200,0.0,shopify,98,continue,manual,34.00,54.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0880/9879/9916/files/IMG_1363.jpg?v=1717436601,1,"",false,,,,kg,,,active
copia-de-dije-cruz-circonias-central,Dije Cristo Redentor,"<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><strong data-mce-fragment=""1"">PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2 data-mce-fragment=""1"">
<span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553"" width=""389"" height=""171"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553""></span>
</h2>",KEVIN JEWELRY,Sin categoría,"","",true,Title,Default Title,,,,,,,,'27312,0.0,shopify,97,continue,manual,29.00,49.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0880/9879/9916/files/IMG_1361.jpg?v=1717436606,1,"",false,,,,kg,,,active
copia-de-dije-virgen-del-carmen,Dije Virgen Swarovski Cristal,"<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><strong data-mce-fragment=""1"">PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2 data-mce-fragment=""1"">
<span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553"" width=""389"" height=""171"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553""></span>
</h2>",KEVIN JEWELRY,Sin categoría,"","",true,COLOR,Cristal,,,,,,,,'22146,0.0,shopify,100,continue,manual,70.00,95.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0880/9879/9916/files/IMG_1350.jpg?v=1717436625,1,"",false,,,,kg,,,active
copia-de-dije-virgen-del-carmen,,,,,,,,,Colores,,,,,,,,'22147,0.0,shopify,0,continue,manual,70.00,95.00,true,false,,,,,"",,,,,,,,kg,,,
copia-de-dije-corazon-con-piedras,Dije Cruz Sagrada Verde,"<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><strong data-mce-fragment=""1"">PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2 data-mce-fragment=""1"">
<span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553"" width=""389"" height=""171"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553""></span>
</h2>",KEVIN JEWELRY,Sin categoría,"","",true,Title,Default Title,,,,,,,,'23035,0.0,shopify,97,continue,manual,49.00,65.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0880/9879/9916/files/DSC_0463.jpg?v=1717436638,1,"",false,,,,kg,,,active
topo-ala,Topo Ala,"<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2 data-mce-fragment=""1"">
<span style=""color: #ff2a00;"" data-mce-fragment=""1"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span><span style=""color: #ff2a00;"" data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553"" width=""389"" height=""171"" data-mce-fragment=""1""></span>
</h2>",KEVIN JEWELRY,Sin categoría,"","",true,Title,Default Title,,,,,,,,'71170,0.0,shopify,94,continue,manual,21.00,35.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0880/9879/9916/files/DSC_0149_1.jpg?v=1717436663,1,"",false,,,,kg,,,active
copia-de-candonga-lisa-pequena,Topito Balín Diamantado 8mm,"<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><strong data-mce-fragment=""1"">PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2 data-mce-fragment=""1"">
<span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553"" width=""389"" height=""171"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0668/1205/1749/files/WhatsAppImage2022-11-19at9.23.02AM_480x480.jpg?v=1668880553""></span>
</h2>",KEVIN JEWELRY,Sin categoría,"","",true,Title,Default Title,,,,,,,,'71002,0.0,shopify,98,continue,manual,21.00,29.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0880/9879/9916/files/DSC_0185.jpg?v=1717436670,1,"",false,,,,kg,,,active
copia-de-candoga-infinito-mediana,Candonga Torneada Pequeña,"<p data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;""><strong data-mce-fragment=""1"">PAGAS AL RECIBIR</strong></span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, </span><strong data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">CUENTA CON GARANTÍA DE 20 MESES </span></strong><span data-mce-fragment=""1"">:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Material: Oro 18k puro laminado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ No se Pela, ni raspa</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ Resistentes a todo tipo de ambiente (Mar, cremas, perfumes)</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración 100% garantizado</span></p>
<h2 data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-fragment=""1"" data-mce-style=""color: #ff2a00;"">PRECIO ESPECIAL SOLO HOY - ENVIO GRATIS</span></h2>",KEVIN JEWELRY,,"","",false,Title,Default Title,,,,,,,,'70049,0.0,shopify,98,continue,manual,29.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0880/9879/9916/files/IMG_1805.jpg?v=1717436724,1,"",false,,,,kg,,,draft
